timestamp,open,high,low,close,volume
2026-07-16 16:15:00,10468260,10468779,10447013,10451740,16.753
2026-07-16 16:30:00,10450878,10451606,10400001,10403988,19.512
2026-07-16 16:45:00,10404333,10414240,10381042,10403230,27.96
2026-07-16 17:00:00,10403229,10408871,10361808,10364715,15.8
2026-07-16 17:15:00,10364715,10400880,10350865,10399760,36.025
2026-07-16 17:30:00,10397669,10430464,10392996,10395631,18.202
2026-07-16 17:45:00,10394705,10408440,10383637,10394112,6.85
2026-07-16 18:00:00,10398390,10404407,10390879,10392554,4.513
2026-07-16 18:15:00,10393057,10397125,10379479,10380009,9.402
2026-07-16 18:30:00,10380000,10399194,10378882,10394588,7.189
2026-07-16 18:45:00,10392803,10398640,10380167,10386834,7.559
2026-07-16 19:00:00,10388162,10408405,10385141,10399072,7.063
2026-07-16 19:15:00,10400917,10414234,10396985,10411703,4.327
2026-07-16 19:30:00,10412669,10419000,10404180,10406950,3.986
2026-07-16 19:45:00,10407757,10412421,10400482,10411749,3.343
2026-07-16 20:00:00,10411271,10411536,10390370,10401343,6.503
2026-07-16 20:15:00,10402613,10418553,10387046,10403960,7.738
2026-07-16 20:30:00,10402045,10417513,10396207,10417513,2.926
2026-07-16 20:45:00,10416707,10417835,10395343,10412715,7.306
2026-07-16 21:00:00,10412828,10414612,10398686,10405130,4.614
2026-07-16 21:15:00,10403361,10407040,10390803,10407040,10.85
2026-07-16 21:30:00,10407721,10411199,10362730,10364244,13.252
2026-07-16 21:45:00,10364886,10390000,10361115,10375967,15.195
2026-07-16 22:00:00,10375967,10395699,10374408,10393107,4.995
2026-07-16 22:15:00,10392173,10417703,10387473,10417500,6.578
2026-07-16 22:30:00,10417603,10454938,10405000,10405934,15.785
2026-07-16 22:45:00,10408495,10448401,10400000,10442938,12.442
2026-07-16 23:00:00,10441521,10499960,10435786,10488553,21.628
2026-07-16 23:15:00,10486430,10522166,10473680,10508830,13.601
2026-07-16 23:30:00,10506609,10519771,10488800,10504087,12.081
2026-07-16 23:45:00,10506243,10506243,10450395,10472885,29.127
2026-07-17 00:00:00,10475270,10481641,10437190,10450214,13.082
2026-07-17 00:15:00,10451242,10536400,10443485,10520604,29.411
2026-07-17 00:30:00,10519374,10522657,10494691,10503213,23.769
2026-07-17 00:45:00,10506905,10522165,10488437,10500409,7.638
2026-07-17 01:00:00,10500678,10501185,10465000,10472070,11.065
2026-07-17 01:15:00,10471944,10488468,10455877,10480948,5.531
2026-07-17 01:30:00,10484418,10501107,10451938,10453519,8.064
2026-07-17 01:45:00,10454083,10480052,10444034,10468887,5.716
2026-07-17 02:00:00,10469818,10469818,10420000,10422519,8.773
2026-07-17 02:15:00,10422532,10432130,10410440,10430117,9.183
2026-07-17 02:30:00,10430960,10439381,10415338,10415403,1.43
2026-07-17 02:45:00,10418176,10421599,10389992,10398768,13.448
2026-07-17 03:00:00,10401904,10427907,10399504,10422341,3.662
2026-07-17 03:15:00,10419362,10443918,10415300,10425121,3.928
2026-07-17 03:30:00,10424921,10428031,10406554,10412645,4.684
2026-07-17 03:45:00,10418309,10442421,10415430,10431030,3.354
2026-07-17 04:00:00,10429978,10437152,10423148,10425780,4.594
2026-07-17 04:15:00,10425580,10434882,10419316,10434019,5.63
2026-07-17 04:30:00,10431309,10436437,10421868,10423242,2.876
2026-07-17 04:45:00,10420828,10434406,10413409,10431444,4.37
2026-07-17 05:00:00,10430389,10433454,10418138,10418138,2.836
2026-07-17 05:15:00,10418664,10425761,10406480,10414713,5.417
2026-07-17 05:30:00,10414776,10419406,10406159,10410967,2.788
2026-07-17 05:45:00,10410052,10411397,10401871,10406008,3.552
2026-07-17 06:00:00,10405913,10420979,10404300,10416455,5.328
2026-07-17 06:15:00,10416286,10422387,10407600,10412702,18.453
2026-07-17 06:30:00,10409500,10425000,10408694,10421068,5.85
2026-07-17 06:45:00,10422007,10422007,10408641,10411841,3.884
2026-07-17 07:00:00,10414659,10425981,10409077,10416770,5.578
2026-07-17 07:15:00,10416011,10416011,10387762,10389320,5.174
2026-07-17 07:30:00,10391153,10415059,10388762,10398369,14.947
2026-07-17 07:45:00,10398133,10400124,10378338,10380416,7.47
2026-07-17 08:00:00,10377196,10385867,10370000,10371687,7.158
2026-07-17 08:15:00,10371687,10371687,10345000,10352564,12.969
2026-07-17 08:30:00,10353201,10360656,10342380,10360649,7.11
2026-07-17 08:45:00,10357683,10372307,10351566,10359269,5.128
2026-07-17 09:00:00,10359446,10362435,10348303,10354719,7.131
2026-07-17 09:15:00,10354093,10373175,10349224,10354177,7.714
2026-07-17 09:30:00,10354252,10354252,10321853,10351317,13.895
2026-07-17 09:45:00,10352874,10370000,10352874,10368547,6.318
2026-07-17 10:00:00,10370893,10402362,10367844,10388000,10.836
2026-07-17 10:15:00,10388000,10391887,10360000,10384030,5.126
2026-07-17 10:30:00,10387440,10387440,10346357,10349057,7.318
2026-07-17 10:45:00,10345291,10349456,10308335,10321808,44.122
2026-07-17 11:00:00,10316413,10331440,10299604,10326723,28.03
2026-07-17 11:15:00,10325511,10333716,10307863,10316896,6.41
2026-07-17 11:30:00,10314263,10319683,10287989,10301660,12.942
2026-07-17 11:45:00,10302000,10305000,10287189,10302813,4.718
2026-07-17 12:00:00,10302819,10331328,10300677,10324244,13.247
2026-07-17 12:15:00,10322473,10340000,10321444,10332794,10.176
2026-07-17 12:30:00,10330310,10335986,10318341,10323861,11.404
2026-07-17 12:45:00,10326572,10326768,10310065,10315567,8.764
2026-07-17 13:00:00,10316419,10316834,10300288,10307849,5.624
2026-07-17 13:15:00,10306952,10313761,10272080,10289682,13.835
2026-07-17 13:30:00,10288522,10305582,10280025,10302064,7.018
2026-07-17 13:45:00,10303437,10320000,10301094,10304815,6.998
2026-07-17 14:00:00,10301596,10301596,10283922,10299099,8.136
2026-07-17 14:15:00,10297433,10298321,10256960,10263086,22.734
2026-07-17 14:30:00,10263086,10266981,10220899,10220899,26.286
2026-07-17 14:45:00,10221514,10223100,10199490,10207912,34.384
2026-07-17 15:00:00,10204050,10232271,10193289,10202480,23.592
2026-07-17 15:15:00,10201465,10221120,10180000,10219515,42.728
2026-07-17 15:30:00,10217203,10225000,10199652,10203481,21.349
2026-07-17 15:45:00,10203792,10213097,10197000,10213097,7.13
2026-07-17 16:00:00,10209484,10209484,10195072,10199853,4.645
2026-07-17 16:15:00,10199979,10210329,10184551,10206417,13.53
2026-07-17 16:30:00,10206569,10219923,10197040,10207674,15.042
2026-07-17 16:45:00,10207021,10215403,10192703,10196598,8.279
2026-07-17 17:00:00,10195392,10211247,10185106,10209222,7.651
2026-07-17 17:15:00,10211330,10211330,10184768,10198478,8.338
2026-07-17 17:30:00,10197878,10199030,10177315,10199030,22.968
2026-07-17 17:45:00,10195324,10217450,10195324,10210879,7.752
2026-07-17 18:00:00,10212290,10230700,10209000,10230224,19.908
2026-07-17 18:15:00,10229964,10235911,10209658,10227809,17.694
2026-07-17 18:30:00,10227288,10246713,10225481,10245660,6.85
2026-07-17 18:45:00,10244968,10246596,10227169,10228454,5.5
2026-07-17 19:00:00,10231453,10254560,10223976,10248474,10.76
2026-07-17 19:15:00,10248909,10257893,10244756,10253714,7.156
2026-07-17 19:30:00,10252230,10271444,10250000,10267593,5.436
2026-07-17 19:45:00,10267699,10271520,10263105,10263748,4.152
2026-07-17 20:00:00,10263748,10268031,10246875,10247288,5.288
2026-07-17 20:15:00,10246875,10255074,10240138,10252844,5.34
2026-07-17 20:30:00,10252420,10280879,10246389,10278196,9.454
2026-07-17 20:45:00,10278537,10291942,10272289,10282103,8.406
2026-07-17 21:00:00,10282646,10290047,10265369,10272086,12.28
2026-07-17 21:15:00,10273478,10280120,10255715,10257506,11.148
2026-07-17 21:30:00,10258000,10259347,10240000,10248525,10.846
2026-07-17 21:45:00,10248902,10263092,10242843,10250636,6.194
2026-07-17 22:00:00,10251710,10251715,10198473,10205730,17.624
2026-07-17 22:15:00,10206578,10228174,10204803,10211317,27.916
2026-07-17 22:30:00,10214173,10226922,10153093,10162378,40.405
